index	family	metric	title	rank	scenario_id	score	overall	num_selected_agents	agent_type
82	type_two_wheeler	linear_speed	Linear speed	3	20_loc1_seg103_ego_1	0.0011894433436866877	0.7393344457591676	2	two_wheeler
83	type_two_wheeler	linear_speed	Linear speed	4	19_loc1_seg113_ego_1	0.002054819170876872	0.6176377090791416	2	two_wheeler
84	type_two_wheeler	linear_speed	Linear speed	5	27_loc5_seg97_ego_1	0.02812325304831921	0.7340955853182795	5	two_wheeler
85	type_two_wheeler	linear_acceleration	Linear acceleration	1	34_loc0_seg109_ego_1	0.04373559490048736	0.7834954012157557	3	two_wheeler
86	type_two_wheeler	linear_acceleration	Linear acceleration	2	19_loc1_seg113_ego_1	0.05410180196168745	0.6176377090791416	2	two_wheeler
87	type_two_wheeler	linear_acceleration	Linear acceleration	3	38_loc0_seg29_ego_1	0.054308467060939274	0.6954159840179822	6	two_wheeler
88	type_two_wheeler	linear_acceleration	Linear acceleration	4	32_loc0_seg16_ego_1	0.05431146217147673	0.7240780819032092	2	two_wheeler
89	type_two_wheeler	linear_acceleration	Linear acceleration	5	37_loc0_seg34_ego_1	0.05828092905089118	0.8352701096462146	2	two_wheeler
90	type_two_wheeler	angular_speed	Angular speed	1	19_loc1_seg113_ego_1	0.08197342720238752	0.6176377090791416	2	two_wheeler
91	type_two_wheeler	angular_speed	Angular speed	2	46_loc4_seg42_ego_1	0.12006267868209686	0.775664502086887	3	two_wheeler
92	type_two_wheeler	angular_speed	Angular speed	3	46_loc4_seg64_ego_1	0.12561135851936692	0.7296311671194521	3	two_wheeler
93	type_two_wheeler	angular_speed	Angular speed	4	09_loc3_seg34_ego_1	0.15352374690382273	0.7114121432703775	18	two_wheeler
94	type_two_wheeler	angular_speed	Angular speed	5	38_loc0_seg12_ego_1	0.15788076570046064	0.6976036544572977	4	two_wheeler
95	type_two_wheeler	angular_acceleration	Angular acceleration	1	34_loc0_seg49_ego_1	0.16089309624634662	0.7274044248805003	6	two_wheeler
96	type_two_wheeler	angular_acceleration	Angular acceleration	2	46_loc4_seg64_ego_1	0.17222327777424193	0.7296311671194521	3	two_wheeler
97	type_two_wheeler	angular_acceleration	Angular acceleration	3	43_loc4_seg52_ego_1	0.20282249480226291	0.7175154099690754	5	two_wheeler
98	type_two_wheeler	angular_acceleration	Angular acceleration	4	19_loc1_seg113_ego_1	0.266081689513381	0.6176377090791416	2	two_wheeler
99	type_two_wheeler	angular_acceleration	Angular acceleration	5	46_loc4_seg42_ego_1	0.3136472602142851	0.775664502086887	3	two_wheeler
100	type_two_wheeler	collision	Rollout-level collision	1	17_loc1_seg61_ego_1	0.0	0.558289418194083	9	two_wheeler
101	type_two_wheeler	collision	Rollout-level collision	2	34_loc0_seg62_ego_1	0.0	0.674993650856249	3	two_wheeler
102	type_two_wheeler	collision	Rollout-level collision	3	20_loc1_seg84_ego_1	0.125	0.5658630549821553	7	two_wheeler
103	type_two_wheeler	collision	Rollout-level collision	4	20_loc1_seg25_ego_1	0.203125	0.6745825082008908	14	two_wheeler
104	type_two_wheeler	collision	Rollout-level collision	5	02_loc3_seg21_ego_1	0.375	0.7619677531746535	17	two_wheeler
105	type_two_wheeler	valid_region	GT-relative valid region	1	48_loc4_seg34_ego_1	0.46210937500000004	0.6206874225238057	5	two_wheeler
106	type_two_wheeler	valid_region	GT-relative valid region	2	33_loc0_seg129_ego_1	0.597265625	0.7947190118881977	4	two_wheeler
107	type_two_wheeler	valid_region	GT-relative valid region	3	37_loc0_seg4_ego_1	0.6296875	0.5629918411623925	2	two_wheeler
108	type_two_wheeler	valid_region	GT-relative valid region	4	21_loc1_seg79_ego_1	0.6625	0.7511880738257833	7	two_wheeler
109	type_two_wheeler	valid_region	GT-relative valid region	5	19_loc1_seg5_ego_1	0.737109375	0.5770638990461611	8	two_wheeler
110	type_two_wheeler	coverage	Diversity bonus	1	09_loc3_seg139_ego_1	0.0	0.8360360824115625	6	two_wheeler
111	type_two_wheeler	coverage	Diversity bonus	2	32_loc0_seg106_ego_1	0.0	0.7623504081636489	5	two_wheeler
112	type_two_wheeler	coverage	Diversity bonus	3	45_loc4_seg33_ego_1	0.0	0.8227684899463339	2	two_wheeler
113	type_two_wheeler	coverage	Diversity bonus	4	02_loc3_seg56_ego_1	0.00031757421799567744	0.7502616761380501	15	two_wheeler
114	type_two_wheeler	coverage	Diversity bonus	5	47_loc4_seg127_ego_1	0.0006720430107526881	0.84710551888019	2	two_wheeler
115	type_pedestrian	linear_speed	Linear speed	1	20_loc1_seg59_ego_1	0.02426257408782132	0.6228336557883117	12	pedestrian
116	type_pedestrian	linear_speed	Linear speed	2	40_loc4_seg14_ego_1	0.09846849496042455	0.7705297702110375	11	pedestrian
117	type_pedestrian	linear_speed	Linear speed	3	44_loc4_seg108_ego_1	0.18663900167073155	0.687686039399417	8	pedestrian
118	type_pedestrian	linear_speed	Linear speed	4	28_loc5_seg115_ego_1	0.2402149178875026	0.7190566335121172	34	pedestrian
119	type_pedestrian	linear_speed	Linear speed	5	11_loc3_seg130_ego_1	0.33466261740847475	0.7018201727916824	28	pedestrian
120	type_pedestrian	linear_acceleration	Linear acceleration	1	25_loc5_seg87_ego_1	0.051258046782438546	0.6286184545044536	25	pedestrian
121	type_pedestrian	linear_acceleration	Linear acceleration	2	20_loc1_seg59_ego_1	0.07283173125327728	0.6228336557883117	12	pedestrian
122	type_pedestrian	linear_acceleration	Linear acceleration	3	27_loc5_seg45_ego_1	0.0786981918917452	0.7539005054608181	16	pedestrian
123	type_pedestrian	linear_acceleration	Linear acceleration	4	27_loc5_seg76_ego_1	0.08070638817162562	0.7737797497445655	18	pedestrian
124	type_pedestrian	linear_acceleration	Linear acceleration	5	25_loc5_seg58_ego_1	0.08465156674534229	0.7591781182434787	16	pedestrian
125	type_pedestrian	angular_speed	Angular speed	1	21_loc1_seg57_ego_1	0.003544373970408321	0.7043117114532049	9	pedestrian
126	type_pedestrian	angular_speed	Angular speed	2	39_loc0_seg37_ego_1	0.004392619704461091	0.7062323369389965	9	pedestrian
127	type_pedestrian	angular_speed	Angular speed	3	12_loc1_seg16_ego_1	0.006830371422945746	0.678186634519171	43	pedestrian
128	type_pedestrian	angular_speed	Angular speed	4	38_loc0_seg86_ego_1	0.007624221898266866	0.6950932654034291	2	pedestrian
129	type_pedestrian	angular_speed	Angular speed	5	13_loc1_seg81_ego_1	0.012912376524339426	0.7325149296691255	48	pedestrian
130	type_pedestrian	angular_acceleration	Angular acceleration	1	30_loc5_seg95_ego_1	0.07208267780604664	0.759375309038218	17	pedestrian
131	type_pedestrian	angular_acceleration	Angular acceleration	2	32_loc0_seg52_ego_1	0.07377876610856508	0.6857543262779638	49	pedestrian
132	type_pedestrian	angular_acceleration	Angular acceleration	3	39_loc0_seg37_ego_1	0.08052485898110791	0.7062323369389965	9	pedestrian
133	type_pedestrian	angular_acceleration	Angular acceleration	4	23_loc5_seg48_ego_1	0.09481067200368766	0.6434282785543755	40	pedestrian
134	type_pedestrian	angular_acceleration	Angular acceleration	5	29_loc5_seg135_ego_1	0.09814977230943522	0.6688503177959446	17	pedestrian
135	type_pedestrian	collision	Rollout-level collision	1	04_loc3_seg142_ego_1	0.0	0.7166184692684361	44	pedestrian
136	type_pedestrian	collision	Rollout-level collision	2	06_loc3_seg91_ego_1	0.0	0.7866271541449739	8	pedestrian
137	type_pedestrian	collision	Rollout-level collision	3	08_loc3_seg32_ego_1	0.0	0.7211348806999798	15	pedestrian
138	type_pedestrian	collision	Rollout-level collision	4	09_loc3_seg132_ego_1	0.0	0.648253325086585	35	pedestrian
139	type_pedestrian	collision	Rollout-level collision	5	09_loc3_seg28_ego_1	0.0	0.7683828148026045	22	pedestrian
140	type_pedestrian	valid_region	GT-relative valid region	1	44_loc4_seg37_ego_1	0.48604368932038833	0.6797063401339176	10	pedestrian
141	type_pedestrian	valid_region	GT-relative valid region	2	09_loc3_seg132_ego_1	0.580859375	0.648253325086585	35	pedestrian
142	type_pedestrian	valid_region	GT-relative valid region	3	22_loc5_seg60_ego_1	0.616796875	0.7122096482580471	13	pedestrian
143	type_pedestrian	valid_region	GT-relative valid region	4	11_loc3_seg109_ego_1	0.675	0.6977953318323075	30	pedestrian
144	type_pedestrian	valid_region	GT-relative valid region	5	12_loc1_seg16_ego_1	0.7125	0.678186634519171	43	pedestrian
145	type_pedestrian	coverage	Diversity bonus	1	07_loc3_seg90_ego_1	0.0	0.7342175122322296	32	pedestrian
146	type_pedestrian	coverage	Diversity bonus	2	08_loc3_seg1_ego_1	0.0	0.8276229818975637	18	pedestrian
147	type_pedestrian	coverage	Diversity bonus	3	10_loc3_seg105_ego_1	0.0	0.743829954193803	11	pedestrian
148	type_pedestrian	coverage	Diversity bonus	4	11_loc3_seg78_ego_1	0.0	0.7791810160667086	13	pedestrian
149	type_pedestrian	coverage	Diversity bonus	5	12_loc1_seg16_ego_1	0.0	0.678186634519171	43	pedestrian
